Name,IC0,nHBDon,Class,Split
8-hydroxyquinoline,1.493,1,0,Ext
Acebutolol,1.476,3,1,Ext
Acetanilide,1.483,1,0,Ext
Aciclovir,1.851,3,1,V
Acitretin,1.26,1,0,T
Acrivastine,1.401,1,0,Ext
Alfuzosin,1.623,2,0,Ext
Allopurinol,1.835,2,1,V
Alosetron,1.508,1,1,Ext
Ambroxol,1.638,3,0,V
Aminophenazone,1.489,0,0,V
Aminosalicylic acid,1.722,3,1,Ext
Amitriptyline,1.13,0,0,V
Amodiaquine,1.527,2,0,Ext
Amoxapine,1.61,1,0,T
Antipyrine,1.505,0,0,V
Astemizole,1.466,1,0,T
Azelastine,1.498,0,0,T
Beclomethasone dipropionate,1.436,1,0,T
Bendroflumethiazide,2.152,3,0,Ext
Benzbromarone,1.58,1,0,T
Benzocaine,1.542,1,0,Ext
Benzoic acid,1.429,1,0,T
Betahistine,1.322,1,1,V
Betaxolol,1.345,2,0,V
Bicalutamide,2.023,2,0,V
Bisacodyl,1.462,0,0,V
Bisoprolol,1.373,2,0,V
Brimonidine,1.685,2,1,Ext
Budesonide,1.337,2,0,T
Caffeine,1.784,0,0,V
Capecitabine,1.789,3,1,Ext
Carbadox,1.849,1,1,T
Carbamazepine,1.453,1,0,T
Carvedilol,1.481,3,0,V
Cefadroxil,1.824,4,1,V
Chloramphenicol,1.979,3,1,T
Chlormadinone acetate,1.396,0,0,V
Chloropyramine,1.442,0,0,Ext
Chloroquine,1.376,1,0,V
Chlorphenamine,1.387,0,0,V
Chlorpromazine,1.517,0,0,V
Chlorthalidone,1.973,3,1,Ext
Chlorzoxazone,1.93,1,0,Ext
Ciclopirox,1.422,1,0,Ext
Cinoxacin,1.76,1,1,T
Ciprofloxacin,1.724,2,1,T
Citalopram,1.477,0,0,T
Clomipramine,1.342,0,0,T
Clonidine,1.749,2,0,T
Clozapine,1.493,1,0,V
Coumarin,1.379,0,0,Ext
Cromoglicic acid,1.522,3,1,T
Cyclobenzaprine,1.138,0,0,Ext
Cyproheptadine,1.136,0,0,Ext
Danofloxacin,1.683,1,1,T
Dapsone,1.753,2,1,T
Deferiprone,1.607,1,1,Ext
Desipramine,1.222,1,0,V
Dexamethasone,1.436,3,1,T
Diclofenac,1.728,2,0,V
Dicloxacillin,1.968,2,0,V
Difloxacin,1.742,1,0,T
Diflunisal,1.667,2,0,T
Dihydroergotamine,1.542,3,0,T
Diltiazem,1.594,0,0,V
Dimetindene,1.209,0,0,V
Dipyridamole,1.578,4,0,Ext
Disopyramide,1.35,1,0,T
Dolasetron,1.507,1,0,V
Domperidone,1.648,2,0,T
Donepezil,1.347,0,0,Ext
Doxazosin,1.662,1,0,T
Doxepin,1.274,0,0,V
Enoxacin,1.801,2,1,T
Enrofloxacin,1.661,1,1,T
Ethinyl estradiol,1.209,2,0,T
Etoricoxib,1.756,0,0,T
Famotidine,2.015,5,1,T
Fenoterol,1.479,5,1,T
Fluconazole,1.892,1,1,V
Flumequine,1.694,1,0,T
Fluorescein,1.397,2,0,V
Flupirtine,1.745,3,0,Ext
Flutamide,1.986,1,0,V
Fluvoxamine,1.715,1,0,V
Furosemide,2.041,3,1,T
Galantamine,1.428,1,0,Ext
Gemfibrozil,1.285,1,0,T
Granisetron,1.446,1,0,Ext
Guanabenz,1.823,3,0,V
Haloperidol,1.568,1,0,V
Hesperetin,1.481,3,0,Ext
Hydralazine,1.522,2,0,T
Hydrochlorothiazide,2.308,3,1,T
Hydrocortisone,1.324,3,0,Ext
Hydroxychloroquine,1.492,2,0,T
Imipramine,1.209,0,0,V
Indomethacin,1.633,1,0,T
Iopromide,1.904,6,1,T
Irbesartan,1.47,1,0,T
Isoniazid,1.739,2,1,T
Isoxepac,1.406,1,0,Ext
Isradipine,1.641,1,0,T
Ketoconazole,1.706,0,0,T
Ketoprofen,1.346,1,0,V
Ketotifen,1.42,0,0,V
Labetalol,1.47,4,1,V
Lamivudine,1.948,2,1,T
Lamotrigine,1.837,2,1,T
Levofloxacin,1.735,1,1,Ext
Levosimendan,1.656,2,1,Ext
Lidocaine,1.352,1,0,T
Linezolid,1.75,1,1,T
Lomefloxacin,1.784,2,1,T
Loxapine,1.58,0,0,Ext
Marbofloxacin,1.799,1,1,T
Mazipredone,1.392,2,1,T
Medroxyprogesterone acetate,1.26,0,0,V
Melatonin,1.526,2,0,Ext
Menadione,1.342,0,0,Ext
Mepivacaine,1.354,1,0,Ext
Methylprednisolone,1.325,3,1,T
Metoclopramide,1.626,2,0,T
Metoprolol,1.381,2,0,T
Metronidazole,1.842,1,1,T
Metyrapone,1.451,0,0,T
Midazolam,1.617,0,0,V
Minoxidil,1.615,2,0,Ext
Mycophenolate mofetil,1.482,1,0,Ext
Nafcillin,1.673,2,1,T
Naloxone,1.471,2,0,T
Naproxen,1.362,1,0,V
Naratriptan,1.578,2,1,T
Nevirapine,1.561,1,0,T
Nicotinamide,1.706,1,1,T
Nicotine,1.296,0,0,V
Nilvadipine,1.689,1,0,Ext
Nitrofurantoin,1.953,1,1,Ext
Nizatidine,1.8,2,0,Ext
Norfloxacin,1.734,2,1,T
Ofloxacin,1.735,1,1,T
Olaquindox,1.754,2,1,V
Omeprazole,1.712,1,0,V
Ondansetron,1.442,0,0,V
Orbifloxacin,1.806,2,1,V
Oxacillin,1.772,2,0,T
Oxcarbazepine,1.547,1,0,T
Oxprenolol,1.407,2,0,T
Oxybuprocaine,1.427,1,0,Ext
Pantoprazole,2.007,1,0,V
Papaverine,1.465,0,0,T
Paroxetine,1.553,1,0,T
Pentamidine,1.518,4,1,T
Pentoxifylline,1.671,0,0,T
Perphenazine,1.592,1,0,V
Phenazopyridine,1.506,2,0,Ext
Pheniramine,1.236,0,0,V
Phenol,1.314,1,0,Ext
Phenylbutazone,1.446,1,0,T
Physostigmine,1.514,1,0,Ext
Pindolol,1.465,3,1,V
Pitofenone,1.427,0,0,T
Prednisolone,1.339,3,1,T
Prednisone,1.353,2,1,V
Prilocaine,1.377,2,0,Ext
Primaquine,1.432,2,0,Ext
Procainamide,1.43,2,0,Ext
Procaine,1.465,1,0,V
Procarbazine,1.458,3,0,Ext
Promethazine,1.374,0,0,T
Propafenone,1.366,2,0,T
Proparacaine,1.449,1,0,Ext
Propofol,1.145,1,0,T
Propranolol,1.366,2,0,V
Protionamide,1.52,1,0,Ext
Pyrazinamide,1.809,1,1,T
Pyridoxal,1.664,2,1,Ext
Quetiapine,1.564,1,0,T
Quinine,1.408,1,0,T
Rabeprazole,1.68,1,0,V
Salicylamide,1.658,2,0,Ext
Salicylic acid,1.505,2,0,T
Sarafloxacin,1.771,2,1,T
Succinylsulfathiazole,1.987,3,1,Ext
Sulfacetamide,1.919,2,1,T
Sulfachloropyridazine,2.098,2,1,V
Sulfadiazine,1.924,2,1,V
Sulfadimethoxine,1.92,2,0,V
Sulfadoxine,1.92,2,1,T
Sulfaguanidine,1.965,4,1,T
Sulfamerazine,1.871,2,1,T
Sulfamethazine,1.822,2,1,V
Sulfamethizole,2.023,2,1,V
Sulfamethoxazole,1.922,2,1,T
Sulfamethoxypyridazine,1.927,2,1,V
Sulfamonomethoxine,1.927,2,1,T
Sulfamoxole,1.868,2,1,V
Sulfanilamide,1.958,2,1,T
Sulfapyridine,1.848,2,1,V
Sulfaquinoxaline,1.822,2,1,T
Sulfathiazole,2.011,2,1,T
Sulfisoxazole,1.868,2,1,T
Sulindac,1.567,1,0,V
Sulpiride,1.711,2,1,Ext
Tacrine,1.292,1,0,T
Tamsulosin,1.617,2,1,Ext
Tenidap,1.954,2,0,V
Theobromine,1.837,1,1,T
Theophylline,1.837,1,1,T
Thiabendazole,1.648,1,0,T
Thiamphenicol,1.969,3,1,T
Thiethylperazine,1.419,0,0,V
Thioridazine,1.389,0,0,V
Tiagabine,1.513,1,0,V
Timolol,1.694,2,0,T
Tinidazole,1.932,0,1,T
Tizanidine,1.913,2,0,V
Tofisopam,1.49,0,0,V
Tolbutamide,1.702,2,0,T
Tolmetin,1.5,1,0,Ext
Tolperisone,1.259,0,0,T
Tolterodine,1.205,1,0,T
Tramadol,1.321,1,0,V
Trazodone,1.618,0,0,V
Triamcinolone,1.488,4,1,T
Trichlormethiazide,2.396,3,1,Ext
Trimethoprim,1.667,2,1,T
Tripelennamine,1.297,0,0,Ext
Tropisetron,1.457,1,1,T
Valsartan,1.549,2,0,V
Vardenafil,1.688,1,0,Ext
Verapamil,1.392,0,0,V
Warfarin,1.37,1,0,T
